ObserverID,DisplayType,RotationAxis,Background,Distance,Percept,Time
af,H,X,0,0.8,1,3.09526986075798
af,H,X,0,0.8,1,7.0742587915156
af,H,X,0,0.8,1,13.1372406856972
af,H,X,0,0.8,1,17.6107940070797
af,H,X,0,0.8,1,22.9202081034309
af,H,X,0,0.8,1,30.1601947257004
af,H,X,0,0.8,1,33.1387680170883
af,H,X,0,0.8,1,36.3054472605872
af,H,X,0,0.8,1,41.8385417547252
af,H,X,0,0.8,1,61.392835668812
af,H,X,0,0.8,1,64.9363679335511
af,H,X,0,0.8,1,67.3849297669076
af,H,X,0,0.8,1,69.4217867483385
af,H,X,0,0.8,1,74.4602217709471
af,H,X,0,0.8,1,76.6381362573011
af,H,X,0,0.8,1,79.1103681049717
af,H,X,0,0.8,1,83.5016492764407
af,H,X,0,0.8,1,86.315282852127
af,H,X,0,0.8,1,88.9641055995889
af,H,X,0,0.8,1,112.603215304232
af,H,X,0,0.8,1,117.747948969045
af,H,X,0,0.8,1,169.193899246835
af,H,X,0,0.8,1,172.325397951325
af,H,X,0,0.8,1,180.177661239111
af,H,X,0,0.8,1,212.022238065692
af,H,X,0,0.8,1,225.619521528744
af,H,X,0,0.8,1,228.468653183489
af,H,X,0,0.8,1,234.46067665008
af,H,X,0,0.8,1,240.476449515962
af,H,X,0,0.8,1,248.152260148607
af,H,X,0,0.8,1,253.002544848016
af,H,X,0,0.8,1,256.157582264626
af,H,X,0,0.8,1,260.01897150834
af,H,X,0,0.8,1,264.056957386871
af,H,X,0,0.8,1,275.429088358243
af,H,X,0,0.8,1,278.878572325484
af,H,X,0,0.8,1,282.539696429303
af,H,X,0,0.8,1,286.754267170705
af,H,X,0,0.8,-1,299.433404125855
af,H,X,1,0.1,1,2.1871216383588
af,H,X,1,0.1,1,9.262437186233
af,H,X,1,0.1,1,14.1833386256476
af,H,X,1,0.1,1,18.9041204140813
af,H,X,1,0.1,1,22.8243710775278
af,H,X,1,0.1,1,27.1802139350621
af,H,X,1,0.1,1,31.9480936730979
af,H,X,1,0.1,1,33.7021945276647
af,H,X,1,0.1,1,39.4236464101123
af,H,X,1,0.1,1,44.4858338504855
af,H,X,1,0.1,1,47.3936150303925
af,H,X,1,0.1,1,51.8789958128182
af,H,X,1,0.1,1,56.011147406185
af,H,X,1,0.1,1,57.3296675367747
af,H,X,1,0.1,1,59.5664455557708
af,H,X,1,0.1,1,64.9818102680147
af,H,X,1,0.1,1,67.3009905317449
af,H,X,1,0.1,1,68.6430611463729
af,H,X,1,0.1,1,71.0093493206077
af,H,X,1,0.1,1,74.8000976767507
af,H,X,1,0.1,1,77.7667789124243
af,H,X,1,0.1,1,81.2278998770926
af,H,X,1,0.1,1,83.2998622383166
af,H,X,1,0.1,1,84.6654727724381
af,H,X,1,0.1,1,86.148816408735
af,H,X,1,0.1,1,102.724542162789
af,H,X,1,0.1,1,106.456439060072
af,H,X,1,0.1,1,149.543891459238
af,H,X,1,0.1,1,151.886621905171
af,H,X,1,0.1,1,169.663145554077
af,H,X,1,0.1,1,175.090285206505
af,H,X,1,0.1,1,179.46966617243
af,H,X,1,0.1,1,182.530522781977
af,H,X,1,0.1,1,187.298399803432
af,H,X,1,0.1,1,193.785069762205
af,H,X,1,0.1,1,201.755061926349
af,H,X,1,0.1,1,212.574026673363
af,H,X,1,0.1,1,214.198629748309
af,H,X,1,0.1,1,222.07445680126
af,H,X,1,0.1,1,224.899874070601
af,H,X,1,0.1,1,229.043793661753
af,H,X,1,0.1,1,232.198838624463
af,H,X,1,0.1,1,258.545751724741
af,H,X,1,0.1,1,262.324733592337
af,H,X,1,0.1,1,268.281632964761
af,H,X,1,0.1,1,279.171229845873
af,H,X,1,0.1,1,281.667004933319
af,H,X,1,0.1,1,283.374007234583
af,H,X,1,0.1,1,287.164785473316
af,H,X,1,0.1,1,295.735172811808
af,H,X,1,0.1,1,299.514175204822
af,H,X,0,0.1,1,1.24411343544489
af,H,X,0,0.1,1,26.613906623912
af,H,X,0,0.1,1,35.4433191024
af,H,X,0,0.1,1,49.1819791196322
af,H,X,0,0.1,1,57.7641486425709
af,H,X,0,0.1,1,78.4012468578294
af,H,X,0,0.1,1,80.2142329778289
af,H,X,0,0.1,1,92.104507800861
af,H,X,0,0.1,1,98.8384361092758
af,H,X,0,0.1,1,101.616823042074
af,H,X,0,0.1,1,105.560629320913
af,H,X,0,0.1,1,120.782388480671
af,H,X,0,0.1,1,125.467974637868
af,H,X,0,0.1,1,139.995146949805
af,H,X,0,0.1,1,145.363420654845
af,H,X,0,0.1,1,148.824544336094
af,H,X,0,0.1,1,156.017574573634
af,H,X,0,0.1,1,170.850941210432
af,H,X,0,0.1,1,177.58496610896
af,H,X,0,0.1,1,183.329969079088
af,H,X,0,0.1,1,191.629607349081
af,H,X,0,0.1,1,195.796943707275
af,H,X,0,0.1,1,201.530182301794
af,H,X,0,0.1,1,207.969860861922
af,H,X,0,0.1,1,216.916993463266
af,H,X,0,0.1,1,256.048755677708
af,H,X,0,0.1,1,266.008335727965
af,H,X,0,0.1,1,270.493782312435
af,H,X,0,0.1,1,274.08440407514
af,H,X,0,0.1,1,283.820274146943
af,H,X,0,0.1,1,286.692647499178
af,H,X,0,0.1,1,293.04994433996
af,H,X,1,0.5,-2,5.88090799550992
af,H,X,1,0.5,1,8.5768099782581
af,H,X,1,0.5,1,13.6625457897608
af,H,X,1,0.5,1,16.782261706132
af,H,X,1,0.5,1,20.7378314550733
af,H,X,1,0.5,-1,23.7280613637122
af,H,X,1,0.5,1,26.8948731168057
af,H,X,1,0.5,1,31.3331130877195
af,H,X,1,0.5,1,36.1127635401208
af,H,X,1,0.5,1,37.6314069438668
af,H,X,1,0.5,1,41.1749349827878
af,H,X,1,0.5,1,43.7178167733655
af,H,X,1,0.5,1,47.28488473178
af,H,X,1,0.5,1,48.8859518111858
af,H,X,1,0.5,1,60.7173480094061
af,H,X,1,0.5,1,65.5794004047348
af,H,X,1,0.5,1,137.815652913036
af,H,X,1,0.5,1,144.00799404041
af,H,X,1,0.5,1,151.671921068977
